x;y1;y2;y3;y4;y5
0,00442;742,288;;;;
0,00884;1164,275;;;;
0,01768;1390,868;;;;
0,0442;3276,573;4220,644;3227,876;4641,145;4172,815
0,0884;6192,258;;;;
0,1768;14789,496;17471,406;13969,281;15603,095;7903,375
0,442;33137,148;37571,875;31348,092;36070,57;36619,441
0,884;67167,07;46339,086;65986,852;61631,602;72636,633
1,326;125761,117;120715,258;104112,484;116629,063;116371,422
1,768;141894,844;121029,148;141557,875;164236,609;158367,063
